,0
0,cinnamonbreasted-whistler---
1,cipó-canastero
2,clarión-wren
3,cliff-swallow
4,common-raven
5,cooks-swift---
6,copperback-quailthrush---
7,córdoba-cinclodes
8,crimsonbellied-conure
9,crozet-shag---
10,cryptic-antthrush1
11,darksided-thrush1
12,darwins-rhea
13,deepthroated-antbird
14,delalandes-coua
15,dodotemporal-range-holocene
16,dullcoloured-grassquit
17,eastern-parotia---
18,eastern-yellowspotted-barbet
19,ecuadorian-seedeater---
20,enggano-cuckoodove---
21,enggano-hill-myna---
22,española-cactus-finch
23,european-scops-owl
24,fanti-drongo---
25,fawncoloured-lark
26,flores-sea-cuckoodove---
27,foothill-screech-owl---
28,franklin’s-gull
29,fülleborns-boubou
30,fülleborns-longclaw
31,fulvous-antshrike---
32,galápagos-dove
33,galápagos-martin
34,galápagos-mockingbird
35,galápagos-petrel
36,galápagos-shearwater
37,goldenbellied-warbler
