,Attribute,Occur,Perc
0,Common Name,6570,100.0
1,Kingdom,6570,100.0
2,Phylum,6570,100.0
3,Class,6570,100.0
4,Link,6570,100.0
5,Description,6570,100.0
6,locomotion,6291,95.75342465753425
7,visual system,5942,90.441400304414
8,auditory system,5867,89.29984779299848
9,geographic distribution includes,5840,88.88888888888889
10,habitat,5560,84.62709284627093
11,mineralized skeleton contains,5409,82.32876712328768
12,population trend,5105,77.70167427701674
13,hearing threshold,5021,76.42313546423135
14,biogeographic realm,4256,64.779299847793
15,body mass,3241,49.33028919330289
16,hearing range,2870,43.68340943683409
17,ecoregion,2143,32.61796042617961
18,conservation status,1674,25.47945205479452
19,type specimen repository,1193,18.158295281582955
20,eats,984,14.977168949771688
21,trophic guild,689,10.487062404870624
22,foraging habitat,551,8.386605783866058
23,native range includes,451,6.864535768645358
24,life span,438,6.666666666666667
25,body shape,435,6.621004566210045
26,weight,428,6.514459665144597
27,ecomorphological guild,406,6.179604261796043
28,prenatal development duration,402,6.1187214611872145
29,diet includes,346,5.2663622526636225
30,mating system,317,4.824961948249619
31,social system,294,4.474885844748858
32,litters per year,279,4.2465753424657535
33,behavioral circadian rhythm,220,3.34855403348554
34,preys on,208,3.1659056316590566
35,parental care,160,2.43531202435312
36,genome size,158,2.4048706240487063
37,parasitized by,148,2.2526636225266365
38,growth rate,143,2.1765601217656014
39,visits flowers of,96,1.461187214611872
40,bill length,89,1.3546423135464232
41,temperature at range midpoint latitude,86,1.308980213089802
42,basal metabolic rate,86,1.308980213089802
43,tarsus length,64,0.9741248097412482
44,has ectoparasite,58,0.8828006088280062
45,body length,56,0.852359208523592
46,is vector for,42,0.6392694063926941
47,mutualistic with,41,0.624048706240487
48,clutch/brood/litter size,40,0.60882800608828
49,host of,39,0.593607305936073
50,has host,34,0.517503805175038
51,onset of fertility,27,0.410958904109589
52,sensory system,25,0.380517503805175
53,body temperature,23,0.350076103500761
54,number of public records in bold,20,0.30441400304414
55,is eaten by,16,0.24353120243531204
56,egg mass,16,0.24353120243531204
57,initial mortality rate,14,0.213089802130898
58,used for,13,0.19786910197869104
59,tarsometatarsus + middle toe length,13,0.19786910197869104
60,preyed upon by,11,0.167427701674277
61,trophic level,11,0.167427701674277
62,motility,10,0.15220700152207
63,visits,10,0.15220700152207
64,middle toe length,9,0.136986301369863
65,has endoparasite,9,0.136986301369863
66,mortality rate doubling time,8,0.12176560121765602
67,has pathogen,7,0.106544901065449
68,reproduction,7,0.106544901065449
69,parasite of,7,0.106544901065449
70,is killed by,7,0.106544901065449
71,pathogen of,6,0.091324200913242
72,symbiont of,6,0.091324200913242
73,mineralized tissue contains,5,0.076103500761035
74,plant growth form,5,0.076103500761035
75,harvested in,4,0.06088280060882801
76,produces,4,0.06088280060882801
77,water depth,3,0.045662100456621
78,Total length,3,0.045662100456621
79,invasive in,2,0.030441400304414005
80,Leaf Complexity,2,0.030441400304414005
81,leaf morphology,2,0.030441400304414005
82,life cycle habit,2,0.030441400304414005
83,photosynthetic pathway,2,0.030441400304414005
84,plant lifeform,2,0.030441400304414005
85,developmental mode,2,0.030441400304414005
86,wing morphology,2,0.030441400304414005
87,standard length,1,0.015220700152207002
88,seed dry mass,1,0.015220700152207002
89,after harvest regrowth rate,1,0.015220700152207002
90,anaerobic soil tolerance,1,0.015220700152207002
91,bloom period,1,0.015220700152207002
92,calcareous soil tolerance,1,0.015220700152207002
93,fire resistance,1,0.015220700152207002
94,fire tolerance,1,0.015220700152207002
95,fruit or seed color,1,0.015220700152207002
96,planting density,1,0.015220700152207002
97,precipitation tolerance,1,0.015220700152207002
98,seeds per pound,1,0.015220700152207002
99,spore arrangement,1,0.015220700152207002
100,leaf sheddability,1,0.015220700152207002
101,fruit type,1,0.015220700152207002
102,leaf lamina area,1,0.015220700152207002
103,leaf mass per area,1,0.015220700152207002
104,leaf nitrogen per dry mass,1,0.015220700152207002
105,vegetative plant height,1,0.015220700152207002
106,leaf arrangement,1,0.015220700152207002
107,supporting structures and enclosures,1,0.015220700152207002
108,diet breadth,1,0.015220700152207002
109,geographic range (size of area),1,0.015220700152207002
110,habitat breadth,1,0.015220700152207002
111,social group size,1,0.015220700152207002
112,territorial,1,0.015220700152207002
